comunidades_y_ciudades_autonomas,divisiones_coicop,anno,total
Aragón,Total gasto en consumo final de los hogares interior,2018,19826160
Aragón,Total gasto en consumo final de los hogares interior,2017,19330882
Aragón,Total gasto en consumo final de los hogares interior,2016,18879532
Aragón,Total gasto en consumo final de los hogares interior,2015,18549506
Aragón,Total gasto en consumo final de los hogares interior,2014,18226455
Aragón,P.Gasto en consumo final de los hogares,2020,17680061
Aragón,P.Gasto en consumo final de los hogares,2019,20235018
Aragón,P.Gasto en consumo final de los hogares,2018,19691443
Aragón,P.Gasto en consumo final de los hogares,2017,19176169
Aragón,P.Gasto en consumo final de los hogares,2016,18590990
Aragón,P.Gasto en consumo final de los hogares,2015,18518375
Aragón,P.Gasto en consumo final de los hogares,2014,18044286
Aragón,P.Consumo final efectivo de los hogares,2020,22451513
Aragón,P.Consumo final efectivo de los hogares,2019,24798265
Aragón,P.Consumo final efectivo de los hogares,2018,24037110
Aragón,P.Consumo final efectivo de los hogares,2017,23393576
Aragón,P.Consumo final efectivo de los hogares,2016,22685213
Aragón,P.Consumo final efectivo de los hogares,2015,22447699
Aragón,P.Consumo final efectivo de los hogares,2014,21833322
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,2300575
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2019,2132176
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2018,2094692
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2017,2010431
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2016,2000104
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2015,2045529
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2014,1989949
"Asturias, Principado de","Bebidas alcohólicas, tabaco y narcóticos",2020,737265
"Asturias, Principado de","Bebidas alcohólicas, tabaco y narcóticos",2019,668495
"Asturias, Principado de","Bebidas alcohólicas, tabaco y narcóticos",2018,679319
"Asturias, Principado de","Bebidas alcohólicas, tabaco y narcóticos",2017,687010
"Asturias, Principado de","Bebidas alcohólicas, tabaco y narcóticos",2016,710439
"Asturias, Principado de","Bebidas alcohólicas, tabaco y narcóticos",2015,673708
"Asturias, Principado de","Bebidas alcohólicas, tabaco y narcóticos",2014,665205
"Asturias, Principado de",Artículos de vestir y calzado,2020,458128
"Asturias, Principado de",Artículos de vestir y calzado,2019,666093
"Asturias, Principado de",Artículos de vestir y calzado,2018,663003
"Asturias, Principado de",Artículos de vestir y calzado,2017,692629
"Asturias, Principado de",Artículos de vestir y calzado,2016,704302
"Asturias, Principado de",Artículos de vestir y calzado,2015,681830
"Asturias, Principado de",Artículos de vestir y calzado,2014,635689
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,3639492
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2019,3738612
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2018,3699126
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2017,3666580
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2016,3599384
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2015,3632835
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2014,3702274
"Asturias, Principado de","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,609637
"Asturias, Principado de","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,672763
"Asturias, Principado de","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,690034
"Asturias, Principado de","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,703205
"Asturias, Principado de","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,684220
"Asturias, Principado de","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,669922
"Asturias, Principado de","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,631949
"Asturias, Principado de",Salud,2020,650366
"Asturias, Principado de",Salud,2019,681027
"Asturias, Principado de",Salud,2018,658417
"Asturias, Principado de",Salud,2017,644460
"Asturias, Principado de",Salud,2016,649297
"Asturias, Principado de",Salud,2015,588273
"Asturias, Principado de",Salud,2014,586828
"Asturias, Principado de",Transporte,2020,1241120
"Asturias, Principado de",Transporte,2019,1673810
"Asturias, Principado de",Transporte,2018,1742512
"Asturias, Principado de",Transporte,2017,1702527
"Asturias, Principado de",Transporte,2016,1589426
"Asturias, Principado de",Transporte,2015,1651926
"Asturias, Principado de",Transporte,2014,1609772
"Asturias, Principado de",Comunicaciones,2020,412226
"Asturias, Principado de",Comunicaciones,2019,428255
"Asturias, Principado de",Comunicaciones,2018,442247
"Asturias, Principado de",Comunicaciones,2017,431383
"Asturias, Principado de",Comunicaciones,2016,413765
"Asturias, Principado de",Comunicaciones,2015,374954
"Asturias, Principado de",Comunicaciones,2014,363148
"Asturias, Principado de","Ocio, espectáculos y cultura",2020,684521
"Asturias, Principado de","Ocio, espectáculos y cultura",2019,1063538
"Asturias, Principado de","Ocio, espectáculos y cultura",2018,1081414
"Asturias, Principado de","Ocio, espectáculos y cultura",2017,1094767
"Asturias, Principado de","Ocio, espectáculos y cultura",2016,1081204
"Asturias, Principado de","Ocio, espectáculos y cultura",2015,1033022
"Asturias, Principado de","Ocio, espectáculos y cultura",2014,946709
"Asturias, Principado de",Educación,2020,160220
"Asturias, Principado de",Educación,2019,169905
"Asturias, Principado de",Educación,2018,170637
"Asturias, Principado de",Educación,2017,170787
"Asturias, Principado de",Educación,2016,168603
"Asturias, Principado de",Educación,2015,164029
"Asturias, Principado de",Educación,2014,167278
"Asturias, Principado de","Hoteles, cafés y restaurantes",2020,1255419
"Asturias, Principado de","Hoteles, cafés y restaurantes",2019,2200119
"Asturias, Principado de","Hoteles, cafés y restaurantes",2018,2071187
"Asturias, Principado de","Hoteles, cafés y restaurantes",2017,2064594
"Asturias, Principado de","Hoteles, cafés y restaurantes",2016,1920194
"Asturias, Principado de","Hoteles, cafés y restaurantes",2015,1955913
"Asturias, Principado de","Hoteles, cafés y restaurantes",2014,1729836
"Asturias, Principado de",Otros bienes y servicios,2020,1258821
"Asturias, Principado de",Otros bienes y servicios,2019,1351967
"Asturias, Principado de",Otros bienes y servicios,2018,1357291
"Asturias, Principado de",Otros bienes y servicios,2017,1328554
"Asturias, Principado de",Otros bienes y servicios,2016,1281880
"Asturias, Principado de",Otros bienes y servicios,2015,1261120
"Asturias, Principado de",Otros bienes y servicios,2014,1199699
"Asturias, Principado de",Total gasto en consumo final de los hogares interior,2020,13407790
"Asturias, Principado de",Total gasto en consumo final de los hogares interior,2019,15446760
"Asturias, Principado de",Total gasto en consumo final de los hogares interior,2018,15349879
"Asturias, Principado de",Total gasto en consumo final de los hogares interior,2017,15196927
"Asturias, Principado de",Total gasto en consumo final de los hogares interior,2016,14802818
"Asturias, Principado de",Total gasto en consumo final de los hogares interior,2015,14733061
"Asturias, Principado de",Total gasto en consumo final de los hogares interior,2014,14228336
"Asturias, Principado de",P.Gasto en consumo final de los hogares,2020,13250938
"Asturias, Principado de",P.Gasto en consumo final de los hogares,2019,15223413
"Asturias, Principado de",P.Gasto en consumo final de los hogares,2018,15375979
"Asturias, Principado de",P.Gasto en consumo final de los hogares,2017,15115777
"Asturias, Principado de",P.Gasto en consumo final de los hogares,2016,14678107
"Asturias, Principado de",P.Gasto en consumo final de los hogares,2015,14420717
"Asturias, Principado de",P.Gasto en consumo final de los hogares,2014,14179547
"Asturias, Principado de",P.Consumo final efectivo de los hogares,2020,16879116
"Asturias, Principado de",P.Consumo final efectivo de los hogares,2019,18668414
"Asturias, Principado de",P.Consumo final efectivo de los hogares,2018,18694316
"Asturias, Principado de",P.Consumo final efectivo de los hogares,2017,18365410
"Asturias, Principado de",P.Consumo final efectivo de los hogares,2016,17859651
"Asturias, Principado de",P.Consumo final efectivo de los hogares,2015,17554235
"Asturias, Principado de",P.Consumo final efectivo de los hogares,2014,17194667
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,2574036
"Balears, Illes",Alimentos y bebidas no alcohólicas,2019,2642801
"Balears, Illes",Alimentos y bebidas no alcohólicas,2018,2550025
"Balears, Illes",Alimentos y bebidas no alcohólicas,2017,2491321
"Balears, Illes",Alimentos y bebidas no alcohólicas,2016,2367729
"Balears, Illes",Alimentos y bebidas no alcohólicas,2015,2326487
"Balears, Illes",Alimentos y bebidas no alcohólicas,2014,2297564
"Balears, Illes","Bebidas alcohólicas, tabaco y narcóticos",2020,848782
"Balears, Illes","Bebidas alcohólicas, tabaco y narcóticos",2019,1025226
"Balears, Illes","Bebidas alcohólicas, tabaco y narcóticos",2018,1031567
"Balears, Illes","Bebidas alcohólicas, tabaco y narcóticos",2017,1029033
"Balears, Illes","Bebidas alcohólicas, tabaco y narcóticos",2016,1031710
"Balears, Illes","Bebidas alcohólicas, tabaco y narcóticos",2015,952269
"Balears, Illes","Bebidas alcohólicas, tabaco y narcóticos",2014,930011
"Balears, Illes",Artículos de vestir y calzado,2020,565231
"Balears, Illes",Artículos de vestir y calzado,2019,1272631
"Balears, Illes",Artículos de vestir y calzado,2018,1254466
"Balears, Illes",Artículos de vestir y calzado,2017,1239670
"Balears, Illes",Artículos de vestir y calzado,2016,1159254
"Balears, Illes",Artículos de vestir y calzado,2015,1055441
"Balears, Illes",Artículos de vestir y calzado,2014,1031002
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,5164085
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2019,5350257
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2018,5194781
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2017,5006418
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2016,4826227
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2015,4732425
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2014,4733874
"Balears, Illes","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,802056
"Balears, Illes","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,1071546
"Balears, Illes","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,1093431
"Balears, Illes","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,1139538
"Balears, Illes","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,1053722
"Balears, Illes","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,966337
"Balears, Illes","Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,944668
"Balears, Illes",Salud,2020,687799
"Balears, Illes",Salud,2019,742887
"Balears, Illes",Salud,2018,857914
"Balears, Illes",Salud,2017,806187
"Balears, Illes",Salud,2016,758451
"Balears, Illes",Salud,2015,736860
"Balears, Illes",Salud,2014,714423
"Balears, Illes",Transporte,2020,1929779
"Balears, Illes",Transporte,2019,3899592
"Balears, Illes",Transporte,2018,3880400
"Balears, Illes",Transporte,2017,3733809
"Balears, Illes",Transporte,2016,3336951
"Balears, Illes",Transporte,2015,3092256
"Balears, Illes",Transporte,2014,2987799
"Balears, Illes",Comunicaciones,2020,519135
"Balears, Illes",Comunicaciones,2019,622502
"Balears, Illes",Comunicaciones,2018,618980
"Balears, Illes",Comunicaciones,2017,605572
"Balears, Illes",Comunicaciones,2016,563893
"Balears, Illes",Comunicaciones,2015,526476
"Balears, Illes",Comunicaciones,2014,510442
"Balears, Illes","Ocio, espectáculos y cultura",2020,1074109
"Balears, Illes","Ocio, espectáculos y cultura",2019,2202342
"Balears, Illes","Ocio, espectáculos y cultura",2018,2085290
"Balears, Illes","Ocio, espectáculos y cultura",2017,2058181
"Balears, Illes","Ocio, espectáculos y cultura",2016,1898958
"Balears, Illes","Ocio, espectáculos y cultura",2015,1767105
"Balears, Illes","Ocio, espectáculos y cultura",2014,1690630
"Balears, Illes",Educación,2020,216283
"Balears, Illes",Educación,2019,223629
"Balears, Illes",Educación,2018,216944
"Balears, Illes",Educación,2017,210544
"Balears, Illes",Educación,2016,203183
"Balears, Illes",Educación,2015,193201
"Balears, Illes",Educación,2014,194104
"Balears, Illes","Hoteles, cafés y restaurantes",2020,2253697
"Balears, Illes","Hoteles, cafés y restaurantes",2019,7143057
"Balears, Illes","Hoteles, cafés y restaurantes",2018,6949827
"Balears, Illes","Hoteles, cafés y restaurantes",2017,6847163
"Balears, Illes","Hoteles, cafés y restaurantes",2016,6216949
"Balears, Illes","Hoteles, cafés y restaurantes",2015,5436356
"Balears, Illes","Hoteles, cafés y restaurantes",2014,5009647
"Balears, Illes",Otros bienes y servicios,2020,1879211
"Balears, Illes",Otros bienes y servicios,2019,2330863
"Balears, Illes",Otros bienes y servicios,2018,2249376
"Balears, Illes",Otros bienes y servicios,2017,2143169
"Balears, Illes",Otros bienes y servicios,2016,1956394
"Balears, Illes",Otros bienes y servicios,2015,1720346
"Balears, Illes",Otros bienes y servicios,2014,1652858
"Balears, Illes",Total gasto en consumo final de los hogares interior,2020,18514203
"Balears, Illes",Total gasto en consumo final de los hogares interior,2019,28527333
"Balears, Illes",Total gasto en consumo final de los hogares interior,2018,27983001
"Balears, Illes",Total gasto en consumo final de los hogares interior,2017,27310605
"Balears, Illes",Total gasto en consumo final de los hogares interior,2016,25373421
"Balears, Illes",Total gasto en consumo final de los hogares interior,2015,23505559
"Balears, Illes",Total gasto en consumo final de los hogares interior,2014,22697022
"Balears, Illes",P.Gasto en consumo final de los hogares,2020,17258121
"Balears, Illes",P.Gasto en consumo final de los hogares,2019,19698072
"Balears, Illes",P.Gasto en consumo final de los hogares,2018,19372917
"Balears, Illes",P.Gasto en consumo final de los hogares,2017,18523049
"Balears, Illes",P.Gasto en consumo final de los hogares,2016,17439970
"Balears, Illes",P.Gasto en consumo final de los hogares,2015,16257931
"Balears, Illes",P.Gasto en consumo final de los hogares,2014,15703165
"Balears, Illes",P.Consumo final efectivo de los hogares,2020,21321958
"Balears, Illes",P.Consumo final efectivo de los hogares,2019,23702225
"Balears, Illes",P.Consumo final efectivo de los hogares,2018,23007682
"Balears, Illes",P.Consumo final efectivo de los hogares,2017,21937104
"Balears, Illes",P.Consumo final efectivo de los hogares,2016,20695878
"Balears, Illes",P.Consumo final efectivo de los hogares,2015,19435576
"Balears, Illes",P.Consumo final efectivo de los hogares,2014,18678611
Canarias,Alimentos y bebidas no alcohólicas,2020,4344841
Canarias,Alimentos y bebidas no alcohólicas,2019,4334425
Canarias,Alimentos y bebidas no alcohólicas,2018,4244155
Canarias,Alimentos y bebidas no alcohólicas,2017,4045110
Canarias,Alimentos y bebidas no alcohólicas,2016,3919666
Canarias,Alimentos y bebidas no alcohólicas,2015,3976479
Canarias,Alimentos y bebidas no alcohólicas,2014,3889390
Canarias,"Bebidas alcohólicas, tabaco y narcóticos",2020,1240864
Canarias,"Bebidas alcohólicas, tabaco y narcóticos",2019,1222792
Canarias,"Bebidas alcohólicas, tabaco y narcóticos",2018,1173784
Canarias,"Bebidas alcohólicas, tabaco y narcóticos",2017,1156792
Canarias,"Bebidas alcohólicas, tabaco y narcóticos",2016,1117558
Canarias,"Bebidas alcohólicas, tabaco y narcóticos",2015,977559
Canarias,"Bebidas alcohólicas, tabaco y narcóticos",2014,1043868
Canarias,Artículos de vestir y calzado,2020,893748
Canarias,Artículos de vestir y calzado,2019,1681858
Canarias,Artículos de vestir y calzado,2018,1683186
Canarias,Artículos de vestir y calzado,2017,1692308
Canarias,Artículos de vestir y calzado,2016,1583170
Canarias,Artículos de vestir y calzado,2015,1438404
Canarias,Artículos de vestir y calzado,2014,1438808
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,5930021
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2019,6134065
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2018,6030394
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2017,5890045
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2016,5700373
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2015,5570539
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2014,5558841
Canarias,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,1146230
Canarias,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,1480655
Canarias,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,1487409
Canarias,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,1507759
Canarias,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,1418411
Canarias,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,1337083
Canarias,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,1325366
Canarias,Salud,2020,1156763
Canarias,Salud,2019,1262422
Canarias,Salud,2018,1253646
Canarias,Salud,2017,1168157
Canarias,Salud,2016,1089091
Canarias,Salud,2015,1034665
Canarias,Salud,2014,1013080
Canarias,Transporte,2020,3273641
